sno,origin,dest,distcalc,origID,destID,year,dist_mi,dcost,segpax,mktpax,orig_income,dest_income,orig_pop,dest_pop,Hub,ecoPerCapita,Tourist,Industry,Label
175,DFW,PDX,2599.893951,11298,14057,2005,1616,21273662.93,199118,198280,31238,31999,1171519,538053,1,44307.83,0,2,0
176,DFW,PHL,2095.249092,11298,14100,2005,1302,33418751,379365,376297,31238,34480,1171519,1490861,2,44307.83,1,2,1
177,DFW,PHX,1395.389715,11298,14107,2005,868,35973200.09,665929,651864,31238,30145,1171519,1417720,2,44307.83,0,1,1
178,DFW,SAN,1882.505187,11298,14679,2005,1171,34091695.39,467045,460601,31238,34343,1171519,1257278,1,44307.83,1,2,1
179,DFW,SEA,2671.356739,11298,14747,2005,1660,45828482.72,442501,461186,31238,37040,1171519,573336,2,44307.83,0,2,1
180,DFW,SFO,2354.564449,11298,14771,2005,1464,41449548.68,450229,447468,31238,43543,1171519,763016,2,44307.83,1,2,1
181,DFW,SLC,1591.211513,11298,14869,2005,988,20262108.77,340068,341098,31238,27984,1171519,180488,2,44307.83,1,1,1
182,DFW,TPA,1494.360853,11298,15304,2005,929,19286729.56,316780,314119,31238,30331,1171519,326829,1,44307.83,1,2,0
183,DTW,EWR,784.3558942,11433,11618,2005,487,10456336.97,252378,250689,32254,34138,837407,274218,2,44307.83,1,2,0
184,DTW,FLL,1820.345003,11433,11697,2005,1127,17563404.65,281222,266893,32254,40581,837407,173314,1,44307.83,1,1,0
185,DTW,HNL,7198.8881,11433,12173,2005,4475,6252761.086,22544,773,32254,38102,837407,918181,1,44307.83,1,2,0
186,DTW,IAD,616.4905575,11433,12264,2005,383,9962994.514,252766,251942,32254,45000,837407,567136,2,44307.83,1,2,0
187,DTW,IAH,1732.819103,11433,12266,2005,1076,20890264.98,321008,318774,32254,29663,837407,1995773,2,44307.83,0,2,0
188,DTW,JFK,817.6373818,11433,12478,2005,508,3896511.889,71367,78397,32254,37876,837407,8013368,2,44307.83,1,2,0
189,DTW,LAS,2811.19433,11433,12889,2005,1750,37334233.06,390615,395040,32254,30075,837407,550857,1,44307.83,1,2,1
190,DTW,LAX,3181.541245,11433,12892,2005,1979,34407728.39,337843,338924,32254,44200,837407,3788197,2,44307.83,1,2,1
191,DTW,LGA,806.0400987,11433,12953,2005,501,17211067.23,531710,518139,32254,37876,837407,8013368,2,44307.83,1,2,1
192,DTW,MCO,1545.383134,11433,13204,2005,957,24940381.99,491614,497786,32254,28698,837407,223410,1,44307.83,1,2,1
193,DTW,MDW,366.9713507,11433,13232,2005,229,6210120.346,351255,328097,32254,33736,837407,2752523,2,44307.83,1,2,1
194,DTW,MIA,1849.154953,11433,13303,2005,1145,11167448.51,174008,173526,32254,30200,837407,382198,2,44307.83,1,2,0
195,DTW,MSP,849.1837759,11433,13487,2005,528,19460207.58,603449,595460,32254,36808,837407,376937,2,44307.83,0,1,1
196,DTW,ORD,376.9464304,11433,13930,2005,235,12285193.94,704165,697687,32254,33736,837407,2752523,2,44307.83,1,2,1
197,DTW,PDX,3138.425287,11433,14057,2005,1953,4710735.193,45929,48990,32254,31999,837407,538053,1,44307.83,0,2,0
198,DTW,PHL,728.8722517,11433,14100,2005,453,10664800.16,268175,264478,32254,34480,837407,1490861,2,44307.83,1,2,0
199,DTW,PHX,2686.974469,11433,14107,2005,1671,42855596.99,492794,481383,32254,30145,837407,1417720,2,44307.83,0,1,1
200,DTW,SAN,3145.685449,11433,14679,2005,1956,10914579.74,107620,111534,32254,34343,837407,1257278,1,44307.83,1,2,0
201,DTW,SEA,3096.666198,11433,14747,2005,1927,20160550.15,198691,196312,32254,37040,837407,573336,2,44307.83,0,2,0
202,DTW,SFO,3341.093152,11433,14771,2005,2079,19401984.58,170192,169859,32254,43543,837407,763016,2,44307.83,1,2,0
203,DTW,SLC,2380.543451,11433,14869,2005,1481,10521120.71,107709,107457,32254,27984,837407,180488,2,44307.83,1,1,0
204,DTW,TPA,1586.585772,11433,15304,2005,983,15855956.02,286089,286577,32254,30331,837407,326829,1,44307.83,1,2,0
205,EWR,FLL,1718.762555,11618,11697,2005,1065,24477254.46,436827,437119,34138,40581,274218,173314,1,44307.83,2,1,1
206,EWR,HNL,7982.319802,11618,12173,2005,4962,14231164.36,68219,71216,34138,38102,274218,918181,1,44307.83,2,2,0
207,EWR,IAD,341.9064382,11618,12264,2005,213,5456885.887,254284,254266,34138,45000,274218,567136,2,44307.83,2,2,0
208,EWR,IAH,2253.069147,11618,12266,2005,1400,37154355.78,451109,434129,34138,29663,274218,1995773,2,44307.83,1,2,1
210,EWR,LAS,3580.035976,11618,12889,2005,2227,46045109.56,421042,420702,34138,30075,274218,550857,1,44307.83,2,2,1
211,EWR,LAX,3945.367501,11618,12892,2005,2454,68678155.75,511376,513478,34138,44200,274218,3788197,2,44307.83,2,2,1
212,EWR,LGA,26.69850822,11618,12953,2005,17,783.9279376,192,27,34138,37876,274218,8013368,2,44307.83,2,2,0
213,EWR,MCO,1512.568921,11618,13204,2005,938,29460751.96,596991,594590,34138,28698,274218,223410,1,44307.83,2,2,1
